Model,Variable,Coef,SE,p
OLS mobile,mobile,-0.012223450653372905,0.00460908323094939,0.008000821659951758
FE mobile,mobile,-0.008595220075455094,0.0084648015397195,0.31379563040192426
OLS internet,internet,-0.00882422673035586,0.004404751805017926,0.04514053289605163
FE internet,internet,-0.0033309994732400945,0.004998780943064214,0.5102719008197951
